"id","my_entrynumber","entrynumber","dateentry","entrytext","entrytype","entrytype_detail","classactionflag","mdlflag","rule26freportflag","numberoflinks","numberofattachments","unique_caseheader_id","fullcase_id"
19,"","16","2014-12-17 00:00:00","ORDER DISMISSING CASE. THE CLERK IS DIRECTED TO TERMINATE ANY PENDING MOTIONS AND CLOSE THIS CASE. SIGNED BY JUDGE MARY S. SCRIVEN ON 12/17/2014. (APV) (ENTERED: 12/17/2014)","Order","ORDER",0,0,0,0,0,11228282,667885
20,"","15","2014-12-15 00:00:00","STIPULATION OF DISMISSAL BY TIMOTHY POWELL. (WOODS, KIMBERLY) (ENTERED: 12/15/2014)","Stipulation","",0,0,0,0,0,11228282,667885
69,"","3","2014-10-08 00:00:00","ORDER DISMISSING THE CASE WITHOUT PREJUDICE AS PREMATURE; DIRECTING THE CLERK TO CLOSE THE CASE. SIGNED BY JUDGE STEVEN D. MERRYDAY ON 10/8/2014. (BK) (ENTERED: 10/08/2014)","Order","ORDER",0,0,0,0,0,3579281,667889
74,"","5","2014-10-08 00:00:00","ORDER DISMISSING THE CASE WITHOUT PREJUDICE; DENYING |linksToEntryNumber| 2 --MOTION FOR LEAVE TO PROCEED IN FORMA PAUPERIS; DENYING |linksToEntryNumber| 4 --MOTION FOR COSTS; DENYING |linksToEntryNumber| 3  --MOTION FOR BOND AND FOR APPOINTMENT OF COUNSEL; DIRECTING THE CLERK TO CLOSE THE CASE. SIGNED BY JUDGE STEVEN D. MERRYDAY ON 10/8/2014. (BK) (ENTERED: 10/08/2014)","Order","ORDER",0,0,0,3,0,17034282,667891
99,"","18","2014-11-25 00:00:00","ORDER: DEFENDANT REGIONS BANK INC.'S MOTION TO DISMISS PLAINTIFF'S AMENDED COMPLAINT, OR, IN THE ALTERNATIVE, MOTION FOR MORE DEFINITE STATEMENT, AND INCORPORATED MEMORANDUM OF LAW |linksToEntryNumber| 10  IS GRANTED. THIS CASE IS DISMISSED WITHOUT PREJUDICE. THE CLERK IS DIRECTED TO CLOSE THIS CASE. SIGNED BY JUDGE VIRGINIA M. HERNANDEZ COVINGTON ON 11/25/2014. (KBT) (ENTERED: 11/25/2014)","PetkunOrder","",0,0,0,1,0,11185282,667894
107,"","10","2014-11-06 00:00:00","MOTION TO DISMISS PLAINTIFF'S AMENDED COMPLAINT , OR, IN THE ALTERNATIVE, MOTION FOR MORE DEFINITE STATEMENT, AND INCORPORATED MEMORANDUM OF LAW BY REGIONS BANK INCORPORATED. (ATTACHMENTS: # |linksToAttachmentNumber| 1 EXHIBIT, # |linksToAttachmentNumber| 2 EXHIBIT, # |linksToAttachmentNumber| 3 EXHIBIT, # |linksToAttachmentNumber| 4 EXHIBIT, # |linksToAttachmentNumber| 5 EXHIBIT, # |linksToAttachmentNumber| 6 EXHIBIT, # |linksToAttachmentNumber| 7 EXHIBIT, # |linksToAttachmentNumber| 8 EXHIBIT, # |linksToAttachmentNumber| 9 EXHIBIT, # |linksToAttachmentNumber| 10 EXHIBIT, # |linksToAttachmentNumber| 11 EXHIBIT, # |linksToAttachmentNumber| 12 EXHIBIT, # |linksToAttachmentNumber| 13 EXHIBIT, # |linksToAttachmentNumber| 14 EXHIBIT, # |linksToAttachmentNumber| 15 EXHIBIT, # |linksToAttachmentNumber| 16 EXHIBIT, # |linksToAttachmentNumber| 17 EXHIBIT, # |linksToAttachmentNumber| 18 EXHIBIT, # |linksToAttachmentNumber| 19 EXHIBIT, # |linksToAttachmentNumber| 20 EXHIBIT, # |linksToAttachmentNumber| 21  EXHIBIT)(MOORHEAD, JAMES) (ENTERED: 11/06/2014)","Motion TO ","DISMISS PLAINTIFF'S AMENDED COMPLAINT , OR, IN THE ALTERNATIVE, MOTION FOR MORE DEFINITE STATEMENT, AND INCORPORATED MEMORANDUM OF LAW",0,0,0,0,21,11185282,667894
108,"","9","2014-10-21 00:00:00","ENDORSED ORDER: DEFENDANTS MALACOS, INC. AND GEORGE MALACOS ARE DISMISSED FROM THIS ACTION WITHOUT PREJUDICE, PURSUANT TO PLAINTIFFS' NOTICE OF PARTIAL VOLUNTARY DISMISSAL OF MALACOS, INC. AND GEORGE MALACOS FROM THIS ACTION |linksToEntryNumber| 7  . THE CLERK IS DIRECTED TO TERMINATE DEFENDANTS MALACOS, INC. AND GEORGE MALACOS FROM THIS CASE. SIGNED BY JUDGE VIRGINIA M. HERNANDEZ COVINGTON ON 10/21/2014. (KBT) (ENTERED: 10/21/2014)","Other","",0,0,0,1,0,11185282,667894
110,"","7","2014-10-20 00:00:00","NOTICE OF VOLUNTARY DISMISSAL BY GEORGIA POULOS (POULOS, ANTONIOS) (ENTERED: 10/20/2014)","Notice","",0,0,0,0,0,11185282,667894
111,"","6","2014-10-14 00:00:00","ENDORSED ORDER: PLAINTIFFS ATTEMPT TO ALLEGE DIVERSITY OF CITIZENSHIP AS THE BASIS FOR THE COURT'S JURISDICTION OVER THIS MATTER |linksToEntryNumber| 1  . HOWEVER, UPON REVIEW OF THE COMPLAINT, THE COURT FINDS THAT PLAINTIFFS HAVE NOT SUFFICIENTLY DEMONSTRATED THAT THE PROPER GROUNDS FOR DIVERSITY JURISDICTION EXIST. AS EXPLAINED IN MOLINOS VALLE DEL CIBAO, C. POR A. V. LAMA, 633 F.3D 1330, 1342 N.12 (11TH CIR. 2011), ""CITIZENSHIP, NOT RESIDENCE, IS THE KEY FACT THAT MUST BE ALLEGED... TO ESTABLISH DIVERSITY FOR A NATURAL PERSON."" FURTHERMORE, PLAINTIFFS ARE ADVISED THAT TO SUFFICIENTLY ALLEGE CITIZENSHIP OF A CORPORATION, THE PRINCIPAL PLACE OF BUSINESS MUST BE PROVIDED. BECAUSE THE COMPLAINT FAILS TO PROPERLY ALLEGE THE CITIZENSHIP OF EACH PARTY, DIVERSITY HAS NOT BEEN DEFINITIVELY ESTABLISHED. ACCORDINGLY, THE COURT DIRECTS PLAINTIFFS, ON OR BEFORE OCTOBER 20, 2014, TO FILE AN AMENDED COMPLAINT DEMONSTRATING THAT PROPER GROUNDS FOR DIVERSITY JURISDICTION EXIST. FAILURE TO SATISFY THE COURT THAT THE REQUIREMENTS FOR DIVERSITY JURISDICTION EXIST WILL RESULT IN AN ORDER OF DISMISSAL FOR LACK OF JURISDICTION. SIGNED BY JUDGE VIRGINIA M. HERNANDEZ COVINGTON ON 10/14/2014. (KBT) (ENTERED: 10/14/2014)","Other","",0,0,0,1,0,11185282,667894
118,"","3","2014-10-09 00:00:00","ORDER DISMISSING CASE WITHOUT PREJUDICE RE |linksToEntryNumber| 1  COMPLAINT. NIEBLA MAY FILE A NEW COMPLAINT, IN A NEW CASE, WITH A NEW CASE NUMBER, UPON THE PAYMENT OF THE $400.00 FILING FEE. THE CLERK IS DIRECTED TO CLOSE THIS CASE. SIGNED BY JUDGE MARY S. SCRIVEN ON 10/9/2014. (RO) (ENTERED: 10/09/2014)","Order","ORDER",0,0,0,1,0,8659282,667896
121,"","5","2014-12-09 00:00:00","MOTION TO DISMISS RE |linksToEntryNumber| 1  COMPLAINT AND MEMORANDUM OF LAW IN SUPPORT BY 127 PINEAPPLE, LLC, 2224 SOUTH TRAIL CORP., LLC, 715 HOLDINGS, LLC, BC PROPERTIES, LLC, CHADMAR, LLC, CORPORATE CAR REAL ESTATE, LLC, FTU, LLC, JAYCN BEACON REALTY, LLC, KMS II, LLC, KATHRYN KAPLAN, MARVIN ISAAC KAPLAN, LINGER LODGE RV, LLC, LINGER LODGE RESTAURANT, LLC, MIK, LLC, MJ SQUARED, LLC. (PARRISH, JON) MODIFIED ON 12/10/2014 (EJC). (ENTERED: 12/09/2014)","Motion TO ","DISMISS RE |linksToEntryNumber| 1  COMPLAINT AND MEMORANDUM OF LAW IN SUPPORT",0,0,0,1,0,13049281,667897
147,"","20","2014-12-01 00:00:00","RESPONSE IN OPPOSITION RE |linksToEntryNumber| 12  MOTION TO DISMISS PLAINTIFF'S AMENDED COMPLAINT AND ALTERNATIVE MOTION TO STAY CASE AND MEMORANDUM OF LAW IN SUPPORT THEREOF FILED BY JFK ENTERPRISES, LLC. (DEKLE, PATRICK) (ENTERED: 12/01/2014)","ReplyOrResponse","",0,0,0,1,0,679282,667899
148,"","19","2014-11-25 00:00:00","{TERMINATED} RESPONSE IN OPPOSITION RE |linksToEntryNumber| 12  MOTION TO DISMISS PLAINTIFF'S AMENDED COMPLAINT AND ALTERNATIVE MOTION TO STAY CASE AND MEMORANDUM OF LAW FILED BY JFK ENTERPRISES, LLC. (GOODIS, HEATHER) MODIFIED ON 11/28/2014 CONTACTED COUNSEL; INCORRECT LOG-IN USE; COUNSEL TO REFILE USING THE CORRECT LOG-IN PURSUANT TO ADMINISTRATIVE PROCEDURES. (VCG). (ENTERED: 11/25/2014)","Motion TO ","DISMISS PLAINTIFF'S AMENDED COMPLAINT AND ALTERNATIVE MOTION TO STAY CASE AND MEMORANDUM OF LAW FILED",0,0,0,1,0,679282,667899
155,"","12","2014-11-11 00:00:00","MOTION TO DISMISS PLAINTIFF'S AMENDED COMPLAINT AND ALTERNATIVE MOTION TO STAY CASE AND MEMORANDUM OF LAW BY OLD REPUBLIC NATIONAL TITLE INSURANCE COMPANY. (BELLO, JOHN) (ENTERED: 11/11/2014)","Motion TO ","DISMISS PLAINTIFF'S AMENDED COMPLAINT AND ALTERNATIVE MOTION TO STAY CASE AND MEMORANDUM OF LAW",0,0,0,0,0,679282,667899
